epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,391.234,1.09487,1.22702,1.2985,0.69052,0.71956,0.73724,0.52979,1.29077,1.54875,1.19634,0.000655625,0.000655625,0.000655625
43,400.964,1.09704,1.22408,1.27189,0.69704,0.70864,0.71212,0.52445,1.33847,1.61985,1.25835,0.000636762,0.000636762,0.000636762
44,410.647,1.08041,1.23908,1.29522,0.65105,0.75791,0.71938,0.53474,1.223,1.60495,1.16434,0.0006179,0.0006179,0.0006179
45,420.302,1.09114,1.22369,1.3147,0.66022,0.76632,0.73169,0.53647,1.22507,1.51563,1.14613,0.000599037,0.000599037,0.000599037
46,430.072,1.10747,1.21566,1.29125,0.7537,0.73326,0.76259,0.57337,1.2521,1.51144,1.17873,0.000580174,0.000580174,0.000580174
47,439.92,1.10567,1.18551,1.3011,0.81108,0.71684,0.76596,0.55113,1.29361,1.43503,1.22239,0.000561311,0.000561311,0.000561311
48,449.54,1.04924,1.15566,1.25043,0.77097,0.72712,0.77816,0.56516,1.28645,1.33437,1.20872,0.000542448,0.000542448,0.000542448
49,459.259,1.06935,1.18709,1.28085,0.79892,0.73125,0.77565,0.58885,1.23684,1.29662,1.16265,0.000523586,0.000523586,0.000523586
50,469.005,1.07712,1.17044,1.27297,0.85551,0.71591,0.77528,0.57708,1.23076,1.34376,1.15746,0.000504723,0.000504723,0.000504723
51,478.718,1.03249,1.10151,1.26602,0.74858,0.74306,0.78065,0.60054,1.16123,1.27875,1.11187,0.00048586,0.00048586,0.00048586
52,488.563,1.06354,1.15392,1.28111,0.81658,0.67185,0.76028,0.57632,1.14383,1.30613,1.10497,0.000466997,0.000466997,0.000466997
53,498.193,1.00331,1.12214,1.22884,0.81545,0.71439,0.75317,0.56405,1.24483,1.34551,1.14798,0.000448134,0.000448134,0.000448134
54,507.946,0.99792,1.07251,1.23997,0.77796,0.69167,0.7758,0.59868,1.24295,1.31709,1.19407,0.000429272,0.000429272,0.000429272
55,517.708,1.02482,1.08679,1.23548,0.79059,0.69104,0.76808,0.60025,1.11157,1.36021,1.10123,0.000410409,0.000410409,0.000410409
56,527.15,1.04866,1.05927,1.24184,0.84836,0.69924,0.76874,0.5779,1.19367,1.42615,1.13182,0.000391546,0.000391546,0.000391546
57,536.603,0.94976,1.05493,1.20894,0.79095,0.73826,0.75932,0.58104,1.25831,1.3094,1.18552,0.000372683,0.000372683,0.000372683
58,546.186,0.94519,1.04445,1.19796,0.75397,0.73523,0.74998,0.57503,1.31801,1.36343,1.2423,0.00035382,0.00035382,0.00035382
59,555.897,0.99263,1.07024,1.22501,0.761,0.70644,0.77227,0.59046,1.21556,1.43658,1.17359,0.000334958,0.000334958,0.000334958
60,565.482,0.98851,1.06276,1.23519,0.7449,0.73039,0.78454,0.6078,1.17231,1.43142,1.11278,0.000316095,0.000316095,0.000316095
61,575.088,0.93163,1.00423,1.19696,0.69759,0.79532,0.77993,0.62381,1.15626,1.40309,1.10744,0.000297232,0.000297232,0.000297232
62,585.484,0.99813,1.08081,1.23482,0.69351,0.79385,0.77905,0.6164,1.16725,1.43757,1.10314,0.000278369,0.000278369,0.000278369
63,595.78,0.87848,0.95866,1.15588,0.71387,0.79211,0.7925,0.61315,1.13797,1.37984,1.10318,0.000259506,0.000259506,0.000259506
64,605.854,0.96051,0.99338,1.20521,0.72926,0.7674,0.78721,0.59709,1.18243,1.36262,1.12923,0.000240644,0.000240644,0.000240644
